id,type,primary_title,original_title,primary_image,rating,start_year
tt0499549,movie,Avatar,Avatar,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_.jpg', 'width': 1965, 'height': 2902}","{'aggregate_rating': 7.9, 'votes_count': 1436071}",2009
tt2379713,movie,Spectre,Spectre,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzA5MzFiNDAtYTI0NC00MDE5LTljYTctYTNkODk1OTZlODI5XkEyXkFqcGc@._V1_.jpg', 'width': 2026, 'height': 3000}","{'aggregate_rating': 6.8, 'votes_count': 482431}",2015
tt0401729,movie,John Carter,John Carter,"{'url': 'https://m.media-amazon.com/images/M/MV5BZWNmZGYzZjUtODRmOS00ODgzLWE4NWQtMDI3MGUwNjRjYjY0XkEyXkFqcGc@._V1_.jpg', 'width': 742, 'height': 1018}","{'aggregate_rating': 6.6, 'votes_count': 293917}",2012
tt0398286,movie,Tangled,Tangled,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_.jpg', 'width': 534, 'height': 792}","{'aggregate_rating': 7.7, 'votes_count': 524092}",2010
tt0417741,movie,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_.jpg', 'width': 1328, 'height': 2048}","{'aggregate_rating': 7.6, 'votes_count': 631746}",2009
tt0348150,movie,Superman Returns,Superman Returns,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjg1ZGRiMTEtYmU4Zi00NTkwLWJmODQtMjU3MTAyMGQ2OGZlXkEyXkFqcGc@._V1_.jpg', 'width': 1700, 'height': 2511}","{'aggregate_rating': 6.1, 'votes_count': 296839}",2006
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_.jpg', 'width': 450, 'height': 666}","{'aggregate_rating': 7.4, 'votes_count': 801334}",2006
tt0770828,movie,Man of Steel,Man of Steel,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_.jpg', 'width': 680, 'height': 1005}","{'aggregate_rating': 7.1, 'votes_count': 837396}",2013
tt0848228,movie,The Avengers,The Avengers,"{'url': 'https://m.media-amazon.com/images/M/MV5BNGE0YTVjNzUtNzJjOS00NGNlLTgxMzctZTY4YTE1Y2Y1ZTU4XkEyXkFqcGc@._V1_.jpg', 'width': 800, 'height': 1184}","{'aggregate_rating': 8, 'votes_count': 1515202}",2012
tt1409024,movie,Men in Black³,Men in Black³,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_.jpg', 'width': 691, 'height': 1024}","{'aggregate_rating': 6.8, 'votes_count': 402051}",2012
